temperature,time_s,soc
0C,341.5,0.22232623357976797
0C,342.0,0.2223668634671838
0C,342.5,0.22240741143014675
0C,343.0,0.2224479593931097
0C,343.5,0.22248850735607267
0C,344.0,0.22252906303613812
0C,344.5,0.2225696380089598
0C,345.0,0.22261023227453766
0C,345.5,0.22265084583287176
0C,346.0,0.22269147861064953
0C,346.5,0.2227321113884273
0C,347.0,0.22277274416620507
0C,347.5,0.22281337694398284
0C,348.0,0.22285401404577912
0C,348.5,0.22289466195762167
0C,349.0,0.2229353206795105
0C,349.5,0.2229759902114456
0C,350.0,0.223016662618853
0C,350.5,0.2230573350262604
0C,351.0,0.2230980074336678
0C,351.5,0.22313867984107522
0C,352.0,0.22317933686014865
0C,352.5,0.22321995540838716
0C,353.0,0.2232605354857907
0C,353.5,0.22330109530060552
0C,354.0,0.22334165511542034
0C,354.5,0.22338221493023516
0C,355.0,0.22342277474504998
0C,355.5,0.2234633345598648
0C,356.0,0.22350390192358824
0C,356.5,0.22354448815958317
0C,357.0,0.22358509075217575
0C,357.5,0.22362569334476834
0C,358.0,0.22366629593736093
0C,358.5,0.2237068985299535
0C,359.0,0.2237475011225461
0C,359.5,0.2237881037151387
0C,360.0,0.22382871423350234
0C,360.5,0.22386934456629362
0C,361.0,0.22390997938110843
0C,361.5,0.22395061419592324
0C,362.0,0.22399124901073805
0C,362.5,0.22403188382555286
0C,363.0,0.22407251864036767
0C,363.5,0.22411315345518248
0C,364.0,0.22415380693372117
0C,364.5,0.2241944863781656
0C,365.0,0.22423516582261005
0C,365.5,0.2242758452670545
0C,366.0,0.22431652374377511
0C,366.5,0.22435719980118618
0C,367.0,0.22439787343928772
0C,367.5,0.2244385446580797
0C,368.0,0.22447921373215377
0C,368.5,0.22451988280622784
0C,369.0,0.2245605518803019
0C,369.5,0.22460122095437599
0C,370.0,0.22464187816140185
0C,370.5,0.2246825057008072
0C,371.0,0.224723103572592
0C,371.5,0.2247636717767563
0C,372.0,0.22480423325823778
0C,372.5,0.22484479473971927
0C,373.0,0.22488535622120076
0C,373.5,0.22492591770268225
0C,374.0,0.2249664976991171
0C,374.5,0.22500712398293543
0C,375.0,0.2250477965541372
0C,375.5,0.22508850229487795
0C,376.0,0.2251292080356187
0C,376.5,0.22516991377635945
0C,377.0,0.2252106195171002
0C,377.5,0.22525132525784095
0C,378.0,0.22529200576058997
0C,378.5,0.22533262316835975
0C,379.0,0.22537317748115027
0C,379.5,0.22541371877744656
0C,380.0,0.22545426007374286
0C,380.5,0.22549480137003916
0C,381.0,0.22553534266633546
0C,381.5,0.22557588396263176
0C,382.0,0.22561645551626927
0C,382.5,0.22565710271325984
0C,383.0,0.225697807898445
0C,383.5,0.2257385130836302
0C,384.0,0.22577921826881536
0C,384.5,0.22581992345400054
0C,385.0,0.2258606286391857
0C,385.5,0.2259013338243709
0C,386.0,0.22594202722147858
0C,386.5,0.2259826911483925
0C,387.0,0.22602334485209621
0C,387.5,0.22606399855579992
0C,388.0,0.22610465225950363
0C,388.5,0.22614530596320734
0C,389.0,0.22618595966691105
0C,389.5,0.22622661337061475
0C,390.0,0.22626723411250857
0C,390.5,0.22630777929769375
0C,391.0,0.22634832448287892
0C,391.5,0.2263888696680641
0C,392.0,0.22642941485324927
0C,392.5,0.22646996003843445
0C,393.0,0.22651050522361962
0C,393.5,0.2265510504088048
0C,394.0,0.2265916712632998
0C,394.5,0.22663238422626275
0C,395.0,0.2266730971892257
0C,395.5,0.22671381015218867
0C,396.0,0.22675452311515162
0C,396.5,0.22679523607811458
0C,397.0,0.22683594904107754
0C,397.5,0.2268766620040405
0C,398.0,0.2269172622420601
0C,398.5,0.22695784650131937
0C,399.0,0.22699843076057863
0C,399.5,0.2270390150198379
0C,400.0,0.2270796012653424
0C,400.5,0.22712019247646004
0C,401.0,0.2271607886531908
0C,401.5,0.2272013897955347
0C,402.0,0.22724199405479395
0C,402.5,0.2272825983140532
0C,403.0,0.22732320257331246
0C,403.5,0.2273638068325717
0C,404.0,0.22740440965046077
0C,404.5,0.2274450088649243
0C,405.0,0.22748560447596233
0C,405.5,0.22752619648357483
0C,406.0,0.22756678777987113
0C,406.5,0.22760737907616743
0C,407.0,0.22764797037246373
0C,407.5,0.22768856166876003
0C,408.0,0.22772916075442431
0C,408.5,0.22776977931350856
0C,409.0,0.22781041734601276
0C,409.5,0.22785107012379055
0C,410.0,0.22789172290156834
0C,410.5,0.22793237567934613
0C,411.0,0.22797302845712392
0C,411.5,0.2280136812349017
0C,412.0,0.2280543192646788
0C,412.5,0.22809492042445426
0C,413.0,0.22813548471422804
0C,413.5,0.22817603693645025
0C,414.0,0.22821658915867246
0C,414.5,0.22825714138089467
0C,415.0,0.22829769360311689
0C,415.5,0.2283382458253391
0C,416.0,0.22837881285076578
0C,416.5,0.2284194168842036
0C,417.0,0.22846005410642584
0C,417.5,0.22850069132864806
0C,418.0,0.22854132855087028
0C,418.5,0.2285819657730925
0C,419.0,0.22862260299531473
0C,419.5,0.22866324021753695
0C,420.0,0.22870388520121113
0C,420.5,0.22874454958851523
0C,421.0,0.22878522440333005
0C,421.5,0.22882589921814486
0C,422.0,0.22886657403295968
0C,422.5,0.2289072488477745
0C,423.0,0.22894792366258931
0C,423.5,0.22898859847740413
0C,424.0,0.2290292453096188
0C,424.5,0.22906982218533312
0C,425.0,0.22911038662977756
0C,425.5,0.229150951074222
0C,426.0,0.22919151551866646
0C,426.5,0.2292320799631109
0C,427.0,0.22927264440755535
0C,427.5,0.2293132088519998
0C,428.0,0.2293537924472431
0C,428.5,0.22939441522502088
0C,429.0,0.22943503800279866
0C,429.5,0.22947566078057643
0C,430.0,0.2295162835583542
0C,430.5,0.229556906336132
0C,431.0,0.22959752911390977
0C,431.5,0.22963815189168754
0C,432.0,0.22967879827953136
0C,432.5,0.2297194864276795
0C,433.0,0.22976017457582765
0C,433.5,0.2298008627239758
0C,434.0,0.22984155087212393
0C,434.5,0.22988223902027208
0C,435.0,0.22992292716842022
0C,435.5,0.22996361531656836
0C,436.0,0.23000424049872284
0C,436.5,0.2300447747579821
0C,437.0,0.23008530901724136
0C,437.5,0.23012584327650062
0C,438.0,0.2301663775357599
0C,438.5,0.23020691179501915
0C,439.0,0.2302474460542784
0C,439.5,0.23028798031353767
0C,440.0,0.23032858442318624
0C,440.5,0.23036929294170475
0C,441.0,0.23041000146022325
0C,441.5,0.23045070997874176
0C,442.0,0.23049141849726026
0C,442.5,0.23053212701577877
0C,443.0,0.23057283553429728
0C,443.5,0.23061354405281578
0C,444.0,0.2306541935916823
0C,444.5,0.23069475211020082
0C,445.0,0.23073531062871935
0C,445.5,0.23077586914723788
0C,446.0,0.2308164276657564
0C,446.5,0.23085698618427494
0C,447.0,0.23089754470279347
0C,447.5,0.230938103221312
0C,448.0,0.2309786584242643
0C,448.5,0.2310192084242643
0C,449.0,0.2310597584242643
0C,449.5,0.2311003084242643
0C,450.0,0.2311408584242643
0C,450.5,0.2311814084242643
0C,451.0,0.2312219584242643
0C,451.5,0.2312625084242643
0C,452.0,0.2313031163816243
0C,452.5,0.23134381675199467
0C,453.0,0.23138451712236505
0C,453.5,0.23142521749273542
0C,454.0,0.2314659178631058
0C,454.5,0.23150661823347618
0C,455.0,0.23154731860384656
0C,455.5,0.23158801897421694
0C,456.0,0.2316286496527581
0C,456.5,0.23166916743053587
0C,457.0,0.23170968520831364
0C,457.5,0.23175020298609142
0C,458.0,0.2317907207638692
0C,458.5,0.23183123854164697
0C,459.0,0.23187175631942475
0C,459.5,0.23191227409720253
0C,460.0,0.2319527969859514
0C,460.5,0.2319933282822477
0C,461.0,0.232033859578544
0C,461.5,0.2320743908748403
0C,462.0,0.2321149221711366
0C,462.5,0.2321554534674329
0C,463.0,0.2321959847637292
0C,463.5,0.23223651606002552
0C,464.0,0.23227710207519728
0C,464.5,0.23231781503816024
0C,465.0,0.2323585280011232
0C,465.5,0.23239924096408615
0C,466.0,0.2324399539270491
0C,466.5,0.23248066689001207
